timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 19 20 0.39815834076186635 0.001841659238133675
3 3 4 0.39746938924293274 0.0025306107570672864
5 74 132 0.398011215756942 0.0019887842430580394
5 123 125 0.39561730270938 0.004382697290620019
6 38 114 0.39204545771419064 0.007954542285809385
47 5 120 0.39212735102482654 0.00787264897517348
